system   D            wsystem.c:583  maybe_parent_dir                 [   0.00060] Also searching C:\Users\Andrew\Desktop\AI Svn\andrew auclair\steering_week2\
display  D   display_settings.c:357  _al_score_display_settings       [   0.02708] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02709] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02711] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02712] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02713] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02715] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02716] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02718] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02719] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02723] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02724] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02726] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02727] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02729] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02730] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02732] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02733] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02734] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02736] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02737] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02739] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02740] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02742] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02743] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02745] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02746] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.02748] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.02749] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.02751] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.02752] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.02753] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.02755] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.02756] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.02757] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02759] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.02760] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.02761] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.02763] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.02764] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.02766] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.02767] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.02768] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02770] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.02771] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.02772] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.02774] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.02775] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.02776] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.02778] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.02779] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02780] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.02782] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.02783] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.02784] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.02786] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.02787] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.02788] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.02790] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02791] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.02792] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.02794] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.02795] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.02796] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.02798] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.02799] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.02800] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02802] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.02803] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.02804] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.02806] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.02807] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.02808] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.02809] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.02811] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02812] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.02814] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.02815] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.02817] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.02818] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.02819] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.02821] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.02822] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02823] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.02825] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.02826] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.02827] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.02829] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.02830] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.02831] Score is : 713
display  D   display_settings.c:357  _al_score_display_settings       [   0.02833] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02834] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02836] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02837] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02839] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02840] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02842] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02843] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02844] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02846] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02848] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02849] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02850] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02852] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02853] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02855] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02856] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02858] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02859] Single Buffer requirement not met.
