system   D            wsystem.c:583  maybe_parent_dir                 [   0.00051] Also searching C:\Users\Jack\Development\EGPAI\Playground\Storm\Diablo2\editor\
display  D   display_settings.c:506  _al_score_display_settings       [   0.13721] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.13722] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13723] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.13723] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13724] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.13725] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13726] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.13727] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13728] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.13728] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13729] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.13730] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.13731] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.13731] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.13732] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.13733] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13734] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.13735] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13735] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.13736] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13737] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.13738] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13739] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.13739] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13742] Score is : 714
